vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
1,6,The Nexus of Echoes  -  Central Chamber,"A vast circular chamber of polished obsidian. Six archways radiate outward, each shimmering with a different colored light. The ceiling is lost in darkness above, but faint stars seem to drift there.",2,3,4,5,7,12,11,10,,,Polished obsidian reflects shimmering lights from six radiant archways.,Soft blue light pulses gently from the healer’s sanctum to the southeast.,Combat sounds echo faintly from the training hall entrance to the southwest.,Neon advertisements flicker and buzz near the southern archway.
2,6,Gateway Chamber  -  North,"The northern archway pulses with golden light. Beyond it, you glimpse rolling green hills and castle spires. A sign reads: 'The Shattered Crown  -  Realm of Sword and Sorcery.'",1001,1,7,12,19,16,4,5,6,,Golden light pulses warmly from the archway to the south and west.,Rolling green hills and castle spires glow softly beyond the northern archway.,Snow whips sharply through the narrow mountain pass to the north above.,A faint saxophone drifts from the rainy eastern archway to the southeast.
3,6,Gateway Chamber  -  South,The southern archway crackles with blue-white electricity. Neon signs and holographic advertisements flicker beyond. A sign reads: 'Neon Grid  -  The Digital Frontier.',1,2001,11,10,4,5,18,17,,13,Blue-white electricity crackles along the southern archway.,"Neon signs flicker, casting sharp colors on nearby walls.",Soft blue light spills faintly from the eastern domed room.,The scent of rain mixes with distant saxophone melodies.
4,6,Gateway Chamber  -  East,The eastern archway drips with perpetual rain. Street lamps and saxophone music drift through. A sign reads: 'Midnight Rain  -  Where Shadows Have Secrets.',7,11,3001,9,15,2,,3,,,Raindrops patter continuously on the eastern archway’s glistening surface.,Saxophone melodies drift softly through the midnight rain to the west.,Soft blue light glows warmly from the healer's sanctum just to the south.,Neon signs flicker and crackle faintly from the southern archway nearby.
5,6,Gateway Chamber  -  West,"The western archway glows with orange firelight. Explosions and gunfire echo faintly. A sign reads: 'Blood & Chrome  -  No Pain, No Gain.'",12,10,8,4001,2,,3,14,4001,,Orange firelight flickers and gunfire echoes faintly from the western archway.,Explosions and hammering ring out from the armorer's workshop to the southwest.,Electric crackles and neon glow pulse from the southern archway nearby.,The cork board’s worn surface smells faintly of paper and dust to the north.
6,6,Gateway Chamber  -  Upper,The upper archway opens onto a staircase that climbs into starlight. Floating islands are visible in the distance. A sign reads: 'Ethereal Drift  -  Between the Stars.',20,,19,16,,,7,12,5001,2,"Starlight spills down the staircase, revealing distant floating isles.",The pale archway to the west reflects ghostly lights drifting upward.,Golden light pulses softly from the northern archway to the south.,Scenes flicker rapidly through the shimmering portal to the southeast.
7,6,Gateway Chamber  -  Northeast,A shimmering portal shows scenes from different time periods flickering rapidly. A sign reads: 'Forgotten Epoch  -  History Unbound.',19,4,15,2,6001,6,9,1,6001,,Scenes flicker rapidly through the shimmering portal that shimmers nearby.,Raindrops patter softly on the eastern archway to the south.,Faint golden light pulses from the northern archway to the west.,Soft ticking and clacking of clocks echo from the chamber above.
8,6,The Bazaar  -  West Wing,A bustling marketplace fills this wide corridor. Merchants hawk wares from a dozen different worlds. The smell of exotic spices mixes with machine oil.,,14,5,,12,,10,,,,The air mixes with exotic spices and the sour scent of machine oil.,Hammer strikes ring out from the forge at the armorer's workshop to the south.,Orange firelight glows softly from the western archway to the east.,The bustle of merchants and bartering fills the crowded corridor with life.
9,6,The Bazaar  -  East Wing,More market stalls line this corridor. A weapons dealer polishes a gleaming blade while a tech vendor demonstrates holographic displays.,15,,,4,,7,,11,,,The glass dome above reveals stars drifting silently in the void.,A gentle rain patters softly on the eastern archway nearby.,Faint saxophone music floats through the air from the west.,Holographic displays flicker faintly beside polished blades.
10,6,Training Hall  -  Entrance,"A reinforced doorway leads into a large open space. The sounds of combat echo from within. A sign reads: 'All skill levels welcome. No killing.' A deep, perfectly round groove has been scored into the stone floor, as if something heavy and spherical rolled through here at tremendous speed. Chips of ancient masonry litter the path it carved.",5,17,3,14,1,8,13,21,101,,Echoes of combat ripple faintly through the reinforced doorway.,The smoky clang of hammer strikes drifts in from the west.,Orange firelight glows softly beyond the northern archway.,A heavy grate below hints at darkness and damp stone beneath.
